pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.46308,6e-05,-6e-05,0.0,0.0649,0.0012,-0.0012,0.0,3.95677019,0.14571675,-0.14571675,0.0,0.353,0.013,-0.013,0.0,20.12,1.57,-1.72,0.0,0.0633046,0.00493977,-0.00541173,0.0,Mass,0.00577,0.00101,-0.00101,0.0,21.2,2.5,-2.4,0.0,600.0,17.0,-16.0,0.0,1,M1,3678.0,90.0,-88.0,0.0,0.744,0.023,-0.021,0.0,0.51,0.028,-0.027,0.0,0.23,0.24,-0.3,0.0,[Fe/H],4.404,0.026,-0.031,0.0,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731
AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,18.85969,8e-05,-8e-05,0.0,0.1108,0.002,-0.002,0.0,2.52202066,0.24659758,-0.24659758,0.0,0.225,0.022,-0.022,0.0,9.6,2.07,-2.31,0.0,0.03020498,0.00651295,-0.00726807,0.0,Mass,0.00338,0.00164,-0.00164,0.0,7.3,0.9,-0.8,0.0,459.0,13.0,-12.0,0.0,0,M1,3678.0,90.0,-88.0,0.0,0.744,0.023,-0.021,0.0,0.51,0.028,-0.027,0.0,0.23,0.24,-0.3,0.0,[Fe/H],4.404,0.026,-0.031,0.0,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731
EPIC 220674823 c,EPIC 220674823,1,2,Transit,2016,K2,0,13.33989,0.00068,-0.0007,0.0,0.1073,0.0026,-0.0027,0.0,2.84,0.1,-0.08,0.0,0.25336827,0.00892142,-0.00713713,0.0,7.32,2.49,-2.38,0.0,0.0230313,0.00783442,-0.00748832,0.0,Mass,0.17,0.11,-0.11,0.0,70.0,5.0,-4.0,0.0,804.0,13.0,-12.0,0.0,0,G5 V,5578.0,46.0,-46.0,0.0,0.99,0.012,-0.012,0.0,0.913,0.024,-0.024,0.0,-0.005,0.059,-0.059,0.0,[Fe/H],4.408,0.017,-0.017,0.0,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,244.59,3.044,-2.972,12.101,0.031,-0.031,10.344,0.021,-0.021,11.9535,0.00022,-0.00022
EPIC 249893012 b,EPIC 249893012,1,3,Transit,2020,K2,0,3.5951,0.0003,-0.0003,0.0,0.047,0.005,-0.007,0.0,1.95,0.09,-0.08,0.0,0.17396735,0.00802926,-0.00713712,0.0,8.75,1.09,-1.08,0.0,0.02753044,0.00342951,-0.00339804,0.0,Mass,0.06,0.08,-0.04,0.0,1037.0,482.0,-207.0,0.0,1616.0,149.0,-79.0,0.0,0,G8 IV/V,5430.0,85.0,-85.0,0.0,1.71,0.04,-0.04,0.0,1.05,0.05,-0.05,0.0,0.2,0.05,-0.05,0.0,[Fe/H],3.99,0.03,-0.03,0.0,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,321.296,4.189,-4.085,11.429,0.022,-0.022,9.714,0.023,-0.023,11.4019,0.000495,-0.000495
EPIC 249893012 c,EPIC 249893012,1,3,Transit,2020,K2,0,15.624,0.001,-0.001,0.0,0.13,0.01,-0.02,0.0,3.67,0.17,-0.14,0.0,0.32741547,0.01516638,-0.01248996,0.0,14.67,1.84,-1.89,0.0,0.04615675,0.00578926,-0.00594658,0.0,Mass,0.07,0.08,-0.05,0.0,160.0,68.0,-29.0,0.0,990.0,92.0,-49.0,0.0,0,G8 IV/V,5430.0,85.0,-85.0,0.0,1.71,0.04,-0.04,0.0,1.05,0.05,-0.05,0.0,0.2,0.05,-0.05,0.0,[Fe/H],3.99,0.03,-0.03,0.0,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,321.296,4.189,-4.085,11.429,0.022,-0.022,9.714,0.023,-0.023,11.4019,0.000495,-0.000495
EPIC 249893012 d,EPIC 249893012,1,3,Transit,2020,K2,0,35.747,0.005,-0.005,0.0,0.22,0.02,-0.04,0.0,3.94,0.13,-0.12,0.0,0.35150326,0.01159782,-0.01070568,0.0,10.18,2.46,-2.42,0.0,0.0320297,0.00773999,-0.00761413,0.0,Mass,0.15,0.21,-0.11,0.0,53.0,23.0,-10.0,0.0,752.0,69.0,-37.0,0.0,0,G8 IV/V,5430.0,85.0,-85.0,0.0,1.71,0.04,-0.04,0.0,1.05,0.05,-0.05,0.0,0.2,0.05,-0.05,0.0,[Fe/H],3.99,0.03,-0.03,0.0,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,321.296,4.189,-4.085,11.429,0.022,-0.022,9.714,0.023,-0.023,11.4019,0.000495,-0.000495
GJ 1132 b,GJ 1132,1,2,Transit,2015,Cerro Tololo Inter-American Observatory,0,1.62892911,2.9e-07,-3e-07,0.0,0.0157,0.00013,-0.00013,0.0,1.19151465,0.03811053,-0.04483592,0.0,0.1063,0.0034,-0.004,0.0,1.83704819,0.19069704,-0.18751876,0.0,0.00578,0.0006,-0.00059,0.0,Mass,0.0118,0.047,-0.0099,0.0,19.3,1.5,-1.1,0.0,583.8,11.0,-8.5,0.0,0,M4.5 V,3229.0,78.0,-62.0,0.0,0.2211,0.0069,-0.0081,0.0,0.1945,0.0048,-0.0046,0.0,-0.17,0.15,-0.15,0.0,[Fe/H],5.037,0.034,-0.026,0.0,10h14m50.18s,153.7090696,-47d09m17.77s,-47.1549358,12.613,0.007,-0.007,13.68,0.2,-0.2,8.322,0.027,-0.027,12.138,0.000387,-0.000387
GJ 1214 b,GJ 1214,1,1,Transit,2009,MEarth Project,0,1.580404531,1.8e-08,-1.7e-08,0.0,0.01505,0.00011,-0.00011,0.0,2.733,0.033,-0.031,0.0,0.24382235,0.00294407,-0.00276564,0.0,8.41,0.36,-0.35,0.0,0.02646082,0.00113269,-0.00110122,0.0,Mass,0.0062,0.0079,-0.0044,0.0,17.2,1.0,-0.9,0.0,567.0,7.6,-7.6,0.0,0,M4 V,3101.0,43.0,-43.0,0.0,0.2162,0.0025,-0.0024,0.0,0.182,0.0042,-0.0041,0.0,0.24,0.11,-0.11,0.0,[Fe/H],5.0286,0.0078,-0.0088,0.0,17h15m19.54s,258.8313991,+04d57m38.45s,4.9606795,14.6427,0.0372,-0.0372,15.1,0.2,-0.2,8.782,0.02,-0.02,13.0089,0.001061,-0.001061
GJ 367 b,GJ 367,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,0.3219225,2e-07,-2e-07,0.0,0.00709,0.00027,-0.00027,0.0,0.699,0.024,-0.024,0.0,0.06236071,0.00214114,-0.00214114,0.0,0.633,0.05,-0.05,0.0,0.00199164,0.00015732,-0.00015732,0.0,Mass,0.06,0.07,-0.04,0.0,579.0,57.0,-52.0,0.0,1365.0,32.0,-32.0,0.0,0,M1.0 V,3522.0,70.0,-70.0,0.0,0.458,0.013,-0.013,0.0,0.455,0.011,-0.011,0.0,-0.01,0.12,-0.12,0.0,[Fe/H],4.776,0.026,-0.026,0.0,09h44m29.15s,146.121464,-45d46m44.46s,-45.7790165,9.41263,0.002835,-0.002835,10.153,0.044,-0.044,5.78,0.02,-0.02,9.15159,0.00065,-0.00065
GJ 486 b,GJ 486,1,1,Radial Velocity,2021,Calar Alto Observatory,0,1.46712127,3.1e-07,-3.5e-07,0.0,0.01714,0.00013,-0.00013,0.0,1.289,0.019,-0.014,0.0,0.11499708,0.00169507,-0.001249,0.0,2.77,0.076,-0.073,0.0,0.00871539,0.00023912,-0.00022968,0.0,Mass,0.00086,0.0016,-0.00043,0.0,39.2,1.7,-1.6,0.0,696.3,7.2,-7.3,0.0,0,M3.5 V,3317.0,36.0,-37.0,0.0,0.3243,0.0044,-0.0034,0.0,0.312,0.007,-0.0069,0.0,-0.15,0.13,-0.12,0.0,[Fe/H],4.9111,0.0068,-0.011,0.0,12h47m55.57s,191.981531,+09d44m57.91s,9.7494181,8.07426,0.004095,-0.004095,11.39,0.1,-0.1,6.362,0.018,-0.018,10.094,0.000746,-0.000746
